description,amount,category,type,date
Society maintenance and rent paid,26127,Rent,expense,2023-08-25
Insurance claim amount credited,3836,Others,income,2026-08-13
Theme park annual pass - noted,4155,Entertainment,expense,2025-06-14
Take home salary deposited this month,72924,Salary,income,2023-07-11
Winter clothes bought from Westside confirmed,19352,Shopping,expense,2024-04-07
Bought skincare products urgent,21997,Shopping,expense,2023-02-06
commission received from sale via GPay,2566,Others,income,2023-06-25
Festive sale shopping on Nykaa again,24134,Shopping,expense,2024-06-01
Dinner ordered on Zomato Gold - noted,2384,Food,expense,2025-01-18
winter clothes bought from allen solly - noted,31305,Shopping,expense,2025-04-01
Lunch with friends at college canteen for family,1328,Food,expense,2023-06-15
Movie tickets at INOX - paid online confirmed,4036,Entertainment,expense,2023-03-01
Uber ride to airport again,10467,Travel,expense,2024-04-11
salary credited for september 2024,156615,Salary,income,2026-05-24
festive sale shopping on meesho,18290,Shopping,expense,2026-01-06
Rapido bike ride to mall this month,9339,Travel,expense,2023-06-28
flat rent for the month of August,25860,Rent,expense,2024-12-02
Salary credited for July 2023 - paid online,192305,Salary,income,2023-09-14
health insurance premium paid via PhonePe,29866,Others,expense,2023-07-09
Refund from Flipkart order urgent,28666,Others,income,2023-04-11
Train ticket booked to Jaipur via IRCTC,19924,Travel,expense,2023-05-30
salary credited for june 2026 via UPI,46368,Salary,income,2023-08-04
Weekend brunch at college canteen urgent,2928,Food,expense,2023-02-24
Chai and snacks at office for family,2234,Food,expense,2025-09-16
Ajio shopping haul done,29669,Shopping,expense,2024-05-01
Salary received from employer today,146543,Salary,income,2025-04-29
bought clothes from zara,14794,Shopping,expense,2023-07-08
late night Faasos order this month,2222,Food,expense,2023-11-10
Movie tickets at local multiplex urgent,675,Entertainment,expense,2024-02-20
rapido bike ride to mall,19992,Travel,expense,2023-03-01
Street food evening with friends,2778,Food,expense,2025-12-19
rapido bike ride to railway station done,4463,Travel,expense,2025-06-07
TRAIN TICKET BOOKED TO AHMEDABAD VIA IRCTC - paid online,18846,Travel,expense,2023-08-09
weekend movie outing at local multiplex this month,1663,Entertainment,expense,2024-10-19
salary credited for february 2026 via UPI,99693,Salary,income,2023-03-02
Medical bill payment today,21332,Others,expense,2024-05-22
Water bill payment - noted,20042,Others,expense,2026-06-29
new outfit purchased from Uniqlo,49173,Shopping,expense,2024-09-03
Rent paid for March this month,26203,Rent,expense,2023-11-11
bowling with friends today,1408,Entertainment,expense,2024-10-25
BOOK CLUB MEMBERSHIP FEE - paid online,7053,Entertainment,expense,2024-05-26
Flat rent for the month of September done,44622,Rent,expense,2024-10-31
TRAIN TICKET BOOKED TO BENGALURU VIA IRCTC done,10552,Travel,expense,2024-06-17
shop rent payment for the month - paid online completed,16555,Rent,expense,2023-11-24
AUTO RICKSHAW FARE TO MALL,16719,Travel,expense,2024-08-10
Snapdeal purchase done,2925,Shopping,expense,2025-01-03
Amazon Prime Video subscription urgent,9229,Entertainment,expense,2023-02-19
bought clothes from van heusen via PhonePe,200,Shopping,expense,2024-09-13
Bus ticket to Chennai - noted,7794,Travel,expense,2025-09-07
Train ticket booked to Jaipur via IRCTC - noted,6142,Travel,expense,2025-05-25
Flat rent for the month of January this month,39116,Rent,expense,2024-10-01
Electricity bill payment via PhonePe confirmed,31589,Others,expense,2023-11-11
pet care expenses,19888,Others,expense,2025-06-28
Uber ride to home this month,4188,Travel,expense,2024-02-14
Money received from friend for shared expense via UPI,26115,Others,income,2023-11-07
late night Dominos order urgent,2942,Food,expense,2025-10-02
Salary arrears credited completed,195194,Salary,income,2023-07-31
Salary credited for July 2026 this month,44094,Salary,income,2024-03-24
credit card bill payment,10414,Others,expense,2026-06-13
Rapido bike ride to airport confirmed,1420,Travel,expense,2026-01-24
auto rickshaw fare to railway station via PhonePe,11776,Travel,expense,2023-12-17
old bond maturity amount credited completed,25356,Others,income,2025-06-17
Rent transferred to property owner via UPI done,49659,Rent,expense,2024-10-01
Online order from Amazon confirmed,5676,Shopping,expense,2024-11-25
salary credited for february 2023 confirmed,127773,Salary,income,2025-12-15
Money received from friend for shared expense for family,295,Others,income,2023-02-27
Rent transferred to landlord via UPI - noted,32644,Rent,expense,2026-07-16
salary credited for october 2026 urgent,17493,Salary,income,2025-09-02
Salary credited for June 2023 again,90103,Salary,income,2023-01-20
Bought a smartwatch - paid online,23345,Shopping,expense,2024-01-21
Pet care expenses for family,14349,Others,expense,2024-11-06
OTT PLATFORM SUBSCRIPTION RENEWAL,2604,Entertainment,expense,2026-02-11
Rent transferred to landlord via UPI again,6885,Rent,expense,2024-08-17
Music concert tickets booked this month,8406,Entertainment,expense,2023-11-08
Rent paid for December completed,45840,Rent,expense,2023-10-26
new outfit purchased from zara,8082,Shopping,expense,2024-09-30
LPG gas cylinder booking today,30401,Others,expense,2024-07-21
House rent for April done,45431,Rent,expense,2024-12-23
Office rent paid this month,37005,Rent,expense,2023-07-24
flight ticket booking to Mumbai today,8689,Travel,expense,2024-05-22
UBER RIDE TO HOSPITAL,509,Travel,expense,2023-11-27
Faasos dinner order,2089,Food,expense,2023-03-01
Rental car booking for trip - noted,18632,Travel,expense,2024-11-28
AMUSEMENT PARK TICKETS,5463,Entertainment,expense,2024-12-09
salary credited for december 2026,128367,Salary,income,2026-08-01
Stock market profit withdrawn,18085,Others,income,2025-11-20
Freelance website payment received this month,20035,Others,income,2025-02-11
life insurance premium paid,38774,Others,expense,2026-05-08
CCD lunch order this month,1172,Food,expense,2024-06-17
Wow Momo dinner order,1499,Food,expense,2025-09-22
rent split with roommate paid urgent,47798,Rent,expense,2023-12-09
ola cab booking to railway station - noted,7501,Travel,expense,2025-06-21
flat rent for the month of july,5810,Rent,expense,2025-12-10
Auto rickshaw fare to railway station via PhonePe,13501,Travel,expense,2024-03-23
grocery shopping at More Supermarket,1392,Food,expense,2023-09-02
DONATION TO CHARITY,17800,Others,expense,2023-06-24
Rent paid for 1BHK flat urgent,11769,Rent,expense,2023-03-13
Freelance website payment received today,7553,Others,income,2024-01-20
ott platform subscription renewal - noted,4352,Entertainment,expense,2025-03-18
Salary credited for December 2023,27046,Salary,income,2023-09-19
SALARY ARREARS CREDITED completed,175314,Salary,income,2025-11-16
Salary credited for September 2024 today,184327,Salary,income,2024-05-23
Monthly grocery haul at Spencer's for family,1416,Food,expense,2026-05-24
Family dinner at friend's place done,1285,Food,expense,2023-08-24
Cab fare to Lucknow for business trip today,18770,Travel,expense,2023-03-23
Salary credited for April 2026,61610,Salary,income,2023-12-03
jewellery purchase,20417,Shopping,expense,2025-06-10
Weekend movie outing at local multiplex via GPay this month,917,Entertainment,expense,2023-06-22
Netflix subscription - noted,4064,Entertainment,expense,2026-06-21
NGO donation made,37479,Others,expense,2025-09-01
new outfit purchased from van heusen,3481,Shopping,expense,2024-05-27
Uber ride to mall again,4691,Travel,expense,2023-11-27
Salary credited for June 2026 - noted,96901,Salary,income,2025-04-26
quick snack from CCD - paid online,2240,Food,expense,2025-05-07
Salary credited for April 2024 this month,183701,Salary,income,2023-04-02
flat rent for the month of december (cash),32640,Rent,expense,2023-04-10
Behrouz Biryani dinner order urgent,1940,Food,expense,2025-11-17
Flight ticket booking to Lucknow via PhonePe,18619,Travel,expense,2025-06-05
Weekend movie outing at Carnival Cinemas confirmed,7145,Entertainment,expense,2024-12-26
rent transferred to property owner via UPI,47952,Rent,expense,2023-02-19
Cab fare to Bengaluru for business trip,13522,Travel,expense,2026-07-08
online order from Nykaa via UPI,47762,Shopping,expense,2024-02-23
GROCERY SHOPPING AT NATURE'S BASKET,2981,Food,expense,2024-09-28
Starbucks lunch order,2888,Food,expense,2026-08-10
Salary plus incentive credited via GPay confirmed,47788,Salary,income,2026-02-25
Evening snacks at local restaurant,1817,Food,expense,2026-04-10
Rent paid for 2BHK apartment again,48198,Rent,expense,2025-07-03
SOLD OLD MOBILE PHONE - PAYMENT RECEIVED for family,29337,Others,income,2025-07-30
office rent paid (cash),21994,Rent,expense,2023-08-06
movie tickets at inox for family,306,Entertainment,expense,2024-09-29
Wow Momo order for family done,1309,Food,expense,2023-11-09
Quick snack from Box8,1282,Food,expense,2025-06-18
Monthly wages credited - paid online,59371,Salary,income,2025-08-30
Salary credited for January 2023 done,147567,Salary,income,2024-03-14
LPG gas cylinder booking again,25648,Others,expense,2023-02-21
Sports shoes purchased,42798,Shopping,expense,2024-02-08
Wow Momo lunch order confirmed,329,Food,expense,2024-03-25
life insurance premium paid confirmed,33857,Others,expense,2025-05-05
rent paid for august,25572,Rent,expense,2026-05-17
advance rent paid for new flat confirmed,43874,Rent,expense,2023-05-02
Salary credited for January 2025 done,139768,Salary,income,2025-12-26
zomato lunch order,1080,Food,expense,2024-05-11
Flat rent for the month of February done,6471,Rent,expense,2024-05-14
MONTHLY PAY CREDITED TO ACCOUNT,168168,Salary,income,2025-09-27
Monthly grocery haul at local kirana store,817,Food,expense,2025-08-21
Breakfast at hotel restaurant urgent,518,Food,expense,2023-09-29
Lunch with friends at office canteen again,2881,Food,expense,2025-07-10
Winter clothes bought from Max Fashion for family,39952,Shopping,expense,2026-05-17
SALARY CREDITED FOR SEPTEMBER 2023,43182,Salary,income,2024-07-02
Paying guest accommodation rent confirmed,37986,Rent,expense,2023-08-29
Salary credited for December 2024,136693,Salary,income,2025-10-10
Swiggy Instamart grocery order for family,1584,Food,expense,2026-02-07
House rent for December urgent,11023,Rent,expense,2026-03-14
Movie tickets at local multiplex done,4115,Entertainment,expense,2024-04-18
salary credited for October 2023,39969,Salary,income,2024-07-24
shopping at Allen Solly,44856,Shopping,expense,2025-12-07
Salary credited for August 2025 for family,37940,Salary,income,2025-03-20
Salary credited for November 2023 - noted,163221,Salary,income,2026-06-18
Rent paid for February for family,32350,Rent,expense,2024-05-07
Train ticket booked to Mumbai via IRCTC today,8758,Travel,expense,2023-11-03
AUTO RICKSHAW FARE TO HOSPITAL,7542,Travel,expense,2023-10-05
Salon haircut and grooming for family,23968,Others,expense,2026-07-11
SALARY CREDITED FOR JANUARY 2025,19937,Salary,income,2024-05-02
refund received from amazon,20127,Others,income,2024-10-15
Salary credited for August 2026 for family,52490,Salary,income,2025-06-07
SHARED FLAT RENT CONTRIBUTION again,13059,Rent,expense,2024-02-18
Net salary after deductions credited urgent,182794,Salary,income,2025-12-29
paid house rent,11157,Rent,expense,2025-12-03
Salary credited for August 2024 again,76044,Salary,income,2023-07-14
gaming subscription renewal done,8693,Entertainment,expense,2024-10-17
Shopping at Westside completed,5118,Shopping,expense,2025-06-05
weekend movie outing at inox for family,6363,Entertainment,expense,2023-01-12
dominos food delivery via PhonePe,2956,Food,expense,2023-09-16
Dinner at rooftop cafe,398,Food,expense,2025-07-21
family movie night at inox - noted,4074,Entertainment,expense,2024-09-09
Flat rent for the month of September for family,22393,Rent,expense,2024-02-28
Family dinner at highway dhaba confirmed,2882,Food,expense,2023-07-15
Weekend movie outing at INOX again,3385,Entertainment,expense,2023-09-18
New gadget purchased at Vijay Sales again,33541,Shopping,expense,2025-01-29
OLA CAB BOOKING TO HOME,12696,Travel,expense,2023-10-19
movie tickets at PVR,2576,Entertainment,expense,2024-02-11
Rapido bike ride to office - paid online,8452,Travel,expense,2023-06-27
salary transfer via NEFT,46140,Salary,income,2026-01-17
rent paid via bank transfer,8007,Rent,expense,2023-01-20
Movie tickets at local multiplex for family,5464,Entertainment,expense,2024-04-08
Bought clothes from H&M done,36265,Shopping,expense,2026-01-13
Salary credited for November 2024 completed,195825,Salary,income,2025-09-16
Rent paid for June,44911,Rent,expense,2024-05-23
UBER RIDE TO HOSPITAL urgent,12172,Travel,expense,2023-02-15
Net salary after deductions credited - noted,167533,Salary,income,2024-11-22
Salary credited for January 2025 again,150512,Salary,income,2024-02-27
Movie tickets at PVR completed,857,Entertainment,expense,2024-05-11
Salary credited for April 2026 done,83494,Salary,income,2024-03-27
Flat rent for the month of December,30187,Rent,expense,2025-03-31
Train ticket booked to Delhi via IRCTC again,11303,Travel,expense,2024-10-29
bus ticket to Delhi,16450,Travel,expense,2025-05-10
Dinner at highway dhaba (cash),1160,Food,expense,2023-06-03
Flight ticket booking to Jaipur today,10079,Travel,expense,2024-10-06
Salary credited for December 2025 - noted,116961,Salary,income,2026-03-09
Studio apartment rent payment today,20904,Rent,expense,2026-08-21
Flat rent for the month of May this month,30288,Rent,expense,2024-06-09
Quick snack from Faasos,313,Food,expense,2024-12-17
Family movie night at Carnival Cinemas,2343,Entertainment,expense,2024-10-07
rapido bike ride to hospital again,6292,Travel,expense,2025-04-14
New outfit purchased from Allen Solly,33454,Shopping,expense,2023-05-18
Auto rickshaw fare to friend's house this month,8433,Travel,expense,2025-08-04
ordered sandwich from ccd,654,Food,expense,2026-08-06
Bus ticket to Chennai (cash),802,Travel,expense,2026-02-16
Spotify premium payment urgent,4512,Entertainment,expense,2024-03-23
salon haircut and grooming (cash),32059,Others,expense,2024-10-01
box8 dinner order,773,Food,expense,2024-11-02
Cab fare to Jaipur for business trip confirmed,7720,Travel,expense,2026-01-10
